Symbol,ShortName,Sector,Industry,MarketCap,AveragePrice,PE_Ratio,DividendYield,Beta,Revenue,ProfitMargins,EBITDA,ForwardEps,TrailingEps,SharesOutstanding
BHARATRAS.NS,BHARAT RASAYAN LTD,Basic Materials,Agricultural Inputs,38824504789.83489,9343.437319316168,inf,0.0002,0.525,10408936448,0.056350004,0,334.4,185.73,4155270
JINDWORLD.NS,JINDAL WORLDWIDE,Consumer Cyclical,Textile Manufacturing,36851360755.31543,183.77897843265225,inf,0.00059999997,0.33,17897558016,0.041350003,0,0.0,3.68,200520000
VSTIND.BO,VST INDUSTRIES LTD.,Consumer Defensive,Tobacco,50958197507.114174,3312.2646205070087,inf,0.0369,0.374,14204699648,0.2123,0,152.25,195.31,15384700
JYOTHYLAB.BO,JYOTHY LABS LIMITED,Consumer Defensive,Household & Personal Products,71995174436.08838,196.06048872596338,inf,0.0069999998,0.585,27142000640,0.12915,0,6.43,9.57,367208992
ICIL.NS,INDO COUNT INDUSTR,Consumer Cyclical,Textile Manufacturing,29660584460.672016,149.76008795920313,inf,0.005,0.875,32708943872,0.10416,0,9.72,17.18,198054000
TV18BRDCST.BO,TV18 BROADCAST LTD.,Communication Services,Broadcasting,63316110621.59077,36.932796062607515,inf,0.0,0.753,89759703040,-0.00542,0,0.0,-0.28,1714360064
FDC.NS,FDC LTD,Healthcare,Drug Manufacturers - Specialty & Generic,47720937781.01949,293.1081492599932,inf,0.0,0.217,19157141504,0.1512,0,23.3,17.77,162810000
MRPL.BO,MANGALORE REFINERY & PETROCHEM,Energy,Oil & Gas Refining & Marketing,112403476430.95033,64.13526892975757,inf,0.004,1.055,904805941248,0.04832,0,12.47,24.94,1752600064
RALLIS.BO,RALLIS INDIA LTD.,Basic Materials,Agricultural Inputs,45797223751.03822,235.49884883981002,inf,0.0093,0.498,26639998976,0.055560004,0,11.9,7.6,194468992
MAHLOG.NS,MAHINDRA LOGISTICS,Industrials,Integrated Freight & Logistics,32015157557.343754,444.3445173714153,inf,0.0053,0.576,55059701760,-0.00994,0,15.51,-7.62,72050304
FSL.BO,FIRSTSOURCE SOLUTIONS LTD.,Technology,Information Technology Services,74347824907.37332,108.02790407287448,inf,0.0161,0.931,62226071552,0.08397,0,6.14,7.45,688227968
JYOTHYLAB.NS,JYOTHY LABS LTD,Consumer Defensive,Household & Personal Products,70846148145.61778,192.93140878646506,inf,0.0069999998,0.585,27142000640,0.12915,0,5.05,9.56,367208992
DEEPAKFERT.NS,DEEPAK FERTILISERS,Basic Materials,Chemicals,49639018998.770424,393.21772365508343,inf,0.0167,0.278,93853499392,0.051420003,0,0.0,38.16,126238000
CRAFTSMAN.NS,Craftsman Automation Ltd,Consumer Cyclical,Auto Parts,65191700857.99036,3085.5156760359496,inf,0.0025,-0.044,44517298176,0.068390004,0,0.0,151.28,21128300
REDINGTON.BO,Redington Limited,Technology,Information Technology Services,92320466937.0399,118.0909892725827,inf,0.033,1.007,888235032576,0.01355,0,15.59,15.39,781774016
BIRLACORPN.BO,BIRLA CORPORATION LTD.,Basic Materials,Building Materials,73917086036.15587,959.8961354054903,inf,0.0017,0.343,94688600064,0.03297,0,40.88,40.6,77005296
EIDPARRY.BO,E.I.D.-PARRY (INDIA) LTD.,Basic Materials,Agricultural Inputs,69664565587.09625,392.4366294522035,inf,0.0128999995,0.596,307163791360,0.02794,0,0.0,48.27,177518000
VSTIND.NS,VST INDUSTRIES,Consumer Defensive,Tobacco,48451257023.819405,3149.3143853191423,inf,0.037,0.374,14204699648,0.2123,0,266.8,195.48,15384700
GSFC.NS,GUJARAT STATE FER,Basic Materials,Agricultural Inputs,45534567444.572235,114.27121601752864,inf,0.04,0.616,95732637696,0.07983,0,17.3,19.19,398478016
TEJASNET.NS,TEJAS NETWORKS LTD,Technology,Communication Equipment,65621826983.025276,384.40979323186536,inf,0.0,0.657,23143200768,0.027209999,0,0.0,3.69,170708000
AARTIDRUGS.NS,AARTI DRUGS LTD,Healthcare,Drug Manufacturers - Specialty & Generic,41340203514.3968,449.667738232412,inf,0.002,0.883,26509936640,0.06797,0,0.0,19.57,91935000
IDFC.BO,IDFC LIMITED,Financial Services,Asset Management,90605732002.25555,56.62928923493937,inf,0.0,1.123,1014499968,40.26732,0,2.5,3.69,1599980032
RESPONIND.NS,RESPONSIVE INDUSTR,Basic Materials,Specialty Chemicals,40878238225.74452,153.3265548138171,inf,0.00029999999,0.443,10374888448,0.1328,0,0.0,5.19,266608992
RPOWER.NS,RELIANCE POWER,Utilities,Utilities - Independent Power Producers,43680811015.67157,10.874069557317252,inf,0.0,1.351,76504997888,-0.17633,0,4.51,-3.93,4016969984
COCHINSHIP.BO,Cochin Shipyard Limited,Industrials,Aerospace & Defense,67497568346.58268,256.565736024679,inf,0.0093,0.531,31446624256,0.17932,0,33.15,21.4,263080992
GUJALKALI.NS,GUJARAT ALKALIES,Basic Materials,Chemicals,40191534439.36196,547.2934809140348,inf,0.0295,0.412,39431307264,-0.03033,0,86.6,-16.28,73436896
VALIANTORG.BO,Valiant Organics Limited,Basic Materials,Chemicals,24135773559.083652,875.2773729495432,inf,0.0097,0.603,8177061888,0.04719,0,0.0,13.84,27575000
MINDACORP.NS,MINDA CORP LTD,Consumer Cyclical,Auto Parts,41844274725.84077,177.8480886626012,inf,0.0032,0.847,45106700288,0.06172,0,8.0,11.64,235280992
GPPL.NS,GUJARAT PIPAVAV PO,Industrials,Marine Shipping,43683754150.113106,90.36023943015287,inf,0.033099998,0.485,9768099840,0.38235,0,9.1,7.72,483440000
CYIENT.BO,CYIENT LIMITED,Industrials,Conglomerates,95061984820.61728,864.7973583622983,inf,0.0152,1.179,71471996928,0.09553,0,50.3,61.67,109924000
WOCKPHARMA.NS,WOCKHARDT,Healthcare,Drug Manufacturers - Specialty & Generic,48988666353.477776,319.3503882522336,inf,0.0,1.623,27760001024,-0.18048,0,0.0,-34.75,153400992
TCNSBRANDS.NS,TCNS CLOTHING CO L,Consumer Cyclical,Apparel Manufacturing,34206967991.305172,540.6216196901885,inf,0.0,0.572,10167919616,-0.24888,0,2.84,-39.39,63273400
LAOPALA.NS,LA-OPALA RG LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",31550201242.79874,284.2360472324211,inf,0.0153,0.462,3914885120,0.34039003,0,15.76,12.01,111000000
IFBIND.NS,IFB INDUSTRIES LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",35746072205.47435,882.2095473082705,inf,0.0,1.077,43577901056,0.0065200003,0,42.2,6.96,40518800
KPRMILL.BO,K.P.R.MILL LIMITED,Consumer Cyclical,Textile Manufacturing,138419629695.0349,404.95597961388137,inf,0.0054,0.728,63126200320,0.12693,0,55.53,23.46,341814016
WELCORP.NS,WELSPUN CORP LTD,Basic Materials,Steel,52776230992.87391,201.7594272990057,inf,0.0088,0.764,169485795328,0.0636,0,39.97,41.12,261580000
GODFRYPHLP.BO,GODFREY PHILLIPS INDIA LTD.,Consumer Defensive,Tobacco,68149128116.79237,1316.067391947696,inf,0.013300001,0.204,42499334144,0.192,0,0.0,157.02,51782400
CEATLTD.NS,CEAT LTD,Consumer Cyclical,Auto Parts,55971412066.72033,1383.7150480893824,inf,0.0047999998,0.539,118264496128,0.05647,0,172.27,165.09,40450100
ISGEC.NS,Isgec Heavy Eng Ltd,Industrials,Specialty Industrial Machinery,46782849865.20464,636.2459600598509,inf,0.0027,0.638,63941193728,0.040430002,0,0.0,35.13,73529504
DBL.BO,Dilip Buildcon Limited,Industrials,Engineering & Construction,53434476030.425385,365.4513771282999,inf,0.0002,0.992,114873335808,0.01006,0,56.93,8.97,146215008
EIHOTEL.BO,EIH LTD.,Consumer Cyclical,Lodging,99146581612.6217,158.54220371811013,inf,0.0023,0.383,24804139008,0.2018,0,0.0,8.01,625363968
COCHINSHIP.NS,COCHIN SHIPYARD LT,Industrials,Aerospace & Defense,65909519993.74792,250.5293882795908,inf,0.0093,0.531,31446624256,0.17932,0,35.28,21.41,263080992
JSWHL.NS,JSW HOLDINGS LIMIT,Industrials,Conglomerates,41811662964.4161,3767.461364054757,inf,0.0,0.655,1670253952,0.98030996,0,0.0,119.11,11098100
CHALET.NS,CHALET HOTELS LTD,Consumer Cyclical,Lodging,71163480173.73131,326.28830891211055,inf,0.0,0.278,13383530496,0.17368001,0,19.39,11.33,218100000
MAHSCOOTER.NS,MAHARASHTRA SCOOT,Consumer Cyclical,Auto Parts,49038276231.961975,4290.838443200565,inf,0.0215,0.551,2235399936,0.89161,0,0.0,174.72,11428600
JINDALPOLY.NS,JINDAL POLY FILMS,Basic Materials,Specialty Chemicals,27755311490.377033,633.879731843153,inf,0.0075,0.392,36545908736,-0.0806,0,0.0,-67.26,43786400
CEATLTD.BO,CEAT LTD.,Consumer Cyclical,Auto Parts,55926057781.75156,1382.5938077223927,inf,0.0047999998,0.539,118264496128,0.05647,0,94.69,165.06,40450100
MASFIN.BO,MAS Financial Services Limited,Financial Services,Credit Services,41161224201.77014,251.0045016145899,inf,0.0067000003,0.881,5491500032,0.43331,0,31.9,14.51,163986000
VAKRANGEE.NS,VAKRANGEE LTD,Technology,Information Technology Services,32499727161.582302,30.65983118285639,inf,0.0018000001,1.012,2096297984,0.0135699995,0,0.0,0.03,1060009984
BOROLTD.NS,Borosil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",35483930072.73862,309.6815387472606,inf,0.0,0.573,11770901504,0.086569995,0,0.0,8.9,114582000
GREENLAM.NS,GREENLAM INDUSTRIE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",36114843837.50913,283.0893743043969,inf,0.0023999999,0.831,22160787456,0.06459,0,0.0,11.28,127574000
CSBBANK.NS,CSB Bank Limited,Financial Services,Banks - Regional,43303808875.84418,256.10976163757493,inf,0.0,0.677,19652083712,0.29091,0,0.0,32.96,169083008
GESHIP.NS,GREAT EASTERN SHI,Industrials,Marine Shipping,60603696460.94032,424.4937069840416,inf,0.0249,0.79,52138201088,0.46627,0,11.6,169.98,142767008
SPARC.BO,SUN PHARMA ADVANCED RESEARCH C,Healthcare,Drug Manufacturers - Specialty & Generic,69771372518.94347,214.9973683106272,inf,0.0,0.744,1066801024,0.0,0,0.0,-11.34,324521984
CARBORUNIV.BO,CARBORUNDUM UNIVERSAL LTD.,Industrials,Conglomerates,129931705351.88142,682.9237422441181,inf,0.0023999999,0.656,47006109696,0.09861,0,17.17,24.32,190258000
VTL.BO,VARDHMAN TEXTILES LTD.,Consumer Cyclical,Textile Manufacturing,81376387594.16154,281.40878479429847,inf,0.0078,0.478,95308800000,0.061880004,0,141.72,20.75,289175008
MANINFRA.NS,MAN INFRACONSTRUCT,Industrials,Engineering & Construction,26065854008.217957,70.21105759352156,inf,0.0075,0.608,16469799936,0.19229001,0,0.0,8.54,371249984
KSB.NS,KSB LTD,Industrials,Specialty Industrial Machinery,49959878923.15081,1435.3069979473225,inf,0.0038,0.413,23018000384,0.09228,0,109.5,61.22,34807800
NEOGEN.NS,NEOGEN CHEMICALS,Basic Materials,Specialty Chemicals,27540174810.47417,1043.9120606509123,inf,0.002,0.376,6949400064,0.04754,0,20.1,13.2,26381700
IRCON.NS,IRCON INTERNATIONA,Industrials,Engineering & Construction,57831578382.093895,61.489204170634444,inf,0.0117999995,0.689,123688599552,0.07593,0,9.27,10.0,940515968
JAMNAAUTO.NS,JAMNA AUTO IND,Consumer Cyclical,Auto Parts,31688178242.2812,79.4307400786761,inf,0.0155,0.82,24205172736,0.08392,0,0.0,5.07,398940992
POLYMED.BO,POLY MEDICURE LTD.,Healthcare,Medical Instruments & Supplies,74416399300.5388,775.4018311761505,inf,0.0018000001,0.341,13045746688,0.19065,0,34.27,25.91,95971400
